component,k = 1,k = 2,k = 3,k = 4,k = 5,k = 6,k = 7,k = 8,k = 9,k = 10,k = 11,k = 12,k = 13,k = 14,k = 15,k = 16,k = 17,k = 18,k = 19,k = 20,k = 21,k = 22,k = 23,k = 24,k = 25,k = 26,k = 27,k = 28,k = 29,k = 30
1,26.667,26.667,28.467,29.533,30.200,31.133,32.200,32.000,31.800,32.133,32.933,32.867,32.667,32.133,32.400,32.933,33.800,34.133,35.133,34.867,34.800,35.600,35.400,36.133,36.267,35.800,35.533,35.400,35.533,35.533
2,57.400,57.400,58.000,59.400,60.733,62.133,62.067,62.867,62.933,62.867,62.200,62.333,62.733,62.933,63.133,63.533,63.867,64.400,64.133,64.667,64.133,64.000,62.733,63.333,63.333,62.933,63.467,63.067,63.000,62.733
3,69.533,69.533,72.667,73.733,74.333,74.467,74.333,73.733,74.333,74.067,74.067,73.467,73.200,73.600,73.733,73.533,72.867,72.200,72.533,72.400,72.533,72.467,72.200,72.267,72.467,72.733,72.867,72.933,72.467,72.467
4,81.133,81.133,83.867,83.467,84.067,83.800,83.333,83.267,83.400,83.133,82.133,82.067,82.133,82.467,82.600,82.200,82.133,81.800,81.067,81.000,81.133,81.000,81.333,81.267,81.133,80.933,81.000,80.200,80.933,80.267
5,85.467,85.467,87.600,88.467,89.133,89.067,87.933,87.600,87.733,87.533,87.467,87.667,87.733,86.933,87.000,86.467,86.533,86.200,86.133,86.133,86.067,85.800,85.133,85.133,85.067,85.067,84.667,84.533,84.333,83.467
6,87.800,87.800,89.067,89.600,89.133,88.800,88.333,88.667,87.733,87.933,87.467,87.667,87.267,87.200,87.000,86.667,87.200,86.667,86.733,86.267,86.467,86.467,86.267,85.400,85.067,84.800,84.533,84.600,84.133,83.467
7,90.800,90.800,91.267,92.133,91.000,91.133,89.933,90.533,89.667,89.067,88.400,88.000,88.067,87.933,87.733,87.400,87.200,86.733,86.800,86.800,86.467,86.000,85.600,85.000,84.667,84.600,84.333,83.867,83.133,82.933
8,91.400,91.400,91.333,92.467,90.867,91.600,90.267,90.200,89.667,89.067,88.000,88.667,88.667,88.600,88.733,88.600,88.133,87.600,87.333,87.133,86.600,86.200,85.533,85.400,84.800,84.733,84.333,84.400,84.733,84.933
9,93.333,93.333,93.267,93.867,92.667,92.600,91.933,91.533,91.067,90.600,89.933,90.000,90.200,89.933,89.933,89.400,89.133,88.267,88.200,87.800,87.800,87.800,87.667,87.867,87.600,87.733,87.467,86.867,86.800,86.667
10,93.267,93.267,93.533,93.267,92.400,92.333,91.733,91.733,90.400,90.733,90.067,90.133,89.933,89.400,89.400,89.133,88.733,88.600,88.533,88.333,87.867,88.067,87.867,87.933,87.800,87.800,87.267,87.267,87.267,87.467
11,94.267,94.267,94.200,93.933,93.200,93.067,92.133,92.267,91.600,91.467,91.000,91.133,90.933,90.800,90.600,90.600,90.133,89.933,89.800,89.733,89.533,89.333,89.400,89.467,89.200,88.933,88.800,88.600,88.533,88.067
12,94.800,94.800,94.467,94.533,94.133,94.000,93.133,92.467,92.067,91.733,91.667,91.267,91.267,90.933,90.867,90.800,90.733,90.467,90.467,90.333,90.267,89.933,89.667,89.600,89.533,89.133,88.733,88.800,88.333,88.133
13,95.333,95.333,94.467,94.733,94.267,94.533,93.267,92.800,92.333,92.400,92.267,91.667,91.867,91.533,91.333,91.200,90.800,90.933,90.533,90.400,90.133,89.933,90.400,89.867,89.667,89.267,89.000,88.800,88.667,88.400
14,95.267,95.267,94.867,94.867,94.600,94.533,93.200,93.200,92.867,92.067,91.333,91.600,91.267,91.133,91.133,91.400,91.067,90.533,90.400,90.467,90.400,90.267,89.800,89.600,89.467,89.400,89.000,88.400,88.400,88.267
15,95.400,95.400,94.933,94.933,94.533,94.667,93.400,93.467,92.733,92.267,91.733,91.600,91.200,91.267,91.333,91.333,90.933,90.467,90.867,90.600,90.200,90.467,89.600,89.200,89.267,89.000,88.667,88.200,88.200,88.000
16,96.067,96.067,95.667,95.000,94.600,95.000,93.600,93.800,92.467,92.733,92.067,92.133,91.867,91.533,91.600,91.600,90.933,91.067,91.067,90.867,90.733,90.267,89.533,89.200,89.133,88.933,88.400,88.267,88.133,88.133
17,95.933,95.933,95.933,95.533,94.800,95.200,93.533,93.533,93.000,93.000,92.400,92.467,92.267,91.800,91.467,91.467,91.133,91.333,90.733,90.800,90.267,89.733,89.600,89.333,88.933,88.867,88.533,88.400,87.867,87.667
18,95.800,95.800,95.933,95.867,94.800,95.533,93.933,93.467,93.000,93.133,92.733,92.600,92.333,92.000,91.400,91.267,91.000,91.133,91.267,91.000,90.733,89.933,90.067,89.600,89.000,88.733,88.533,88.200,88.133,87.467
19,96.400,96.400,95.933,95.800,95.000,95.733,93.933,93.800,93.333,93.000,92.600,92.533,92.067,91.867,91.467,91.333,91.400,91.467,90.933,91.067,90.133,90.067,89.667,89.267,88.933,89.133,88.800,88.400,87.867,87.800
20,96.067,96.067,95.800,95.800,95.267,95.200,94.067,94.000,93.200,92.933,93.000,92.400,92.467,92.000,91.467,91.000,91.000,91.000,90.667,90.733,90.400,90.067,89.933,89.333,89.200,89.067,88.867,88.133,87.867,87.667
21,95.800,95.800,95.400,95.800,94.867,94.867,93.667,93.667,93.267,92.800,92.600,92.133,92.000,91.733,91.533,91.267,91.067,91.067,90.733,90.667,90.667,90.067,89.800,89.333,89.133,88.600,88.533,88.467,87.867,87.667
22,96.267,96.267,95.800,95.933,94.800,95.200,94.000,94.133,93.467,92.733,92.800,92.267,92.200,92.000,91.533,91.267,91.000,90.933,90.667,90.533,90.667,90.067,90.067,89.733,89.067,89.000,88.667,88.333,87.667,87.800
23,95.867,95.867,95.867,95.733,95.000,94.867,94.133,94.133,93.267,92.800,92.667,92.533,92.533,91.933,91.533,91.067,90.933,90.800,90.933,90.600,90.867,90.333,90.333,89.933,89.200,88.933,88.867,88.400,88.000,87.800
24,96.200,96.200,95.800,95.800,94.933,95.067,94.333,94.200,93.400,92.867,92.933,92.467,92.333,91.867,91.467,91.600,91.067,91.000,91.333,91.000,90.933,90.133,90.200,89.467,89.267,89.000,88.200,88.467,87.667,87.800
25,96.067,96.067,95.733,95.800,95.067,95.067,93.867,93.867,93.267,92.733,92.667,92.400,92.533,92.067,91.800,91.467,91.067,91.200,91.600,91.133,91.200,90.400,89.933,89.533,89.200,89.067,88.200,88.333,87.800,87.267
26,95.733,95.733,95.400,95.733,95.000,95.067,93.933,93.933,93.467,92.533,92.733,92.400,92.267,92.000,92.067,91.333,91.267,90.933,91.200,91.067,91.000,90.400,89.533,89.067,88.867,88.533,88.267,88.067,87.800,87.667
27,95.800,95.800,95.533,96.067,94.867,95.067,93.667,94.067,93.533,92.800,92.667,92.533,92.333,92.000,91.467,91.267,91.000,90.867,91.267,90.867,91.067,90.733,89.800,89.400,89.000,88.800,88.333,88.067,87.867,87.400
28,95.800,95.800,95.533,96.133,94.867,94.867,93.933,94.067,93.533,92.600,92.867,92.533,92.400,92.200,91.800,91.400,91.200,90.867,91.067,90.733,90.733,90.667,89.733,89.133,88.933,88.400,88.467,88.200,87.867,87.400
29,96.133,96.133,95.533,96.200,95.133,95.400,94.000,94.000,93.667,93.000,93.133,92.533,91.933,91.733,91.667,91.400,91.000,90.533,91.067,90.800,90.867,90.733,89.933,89.400,89.067,88.600,88.333,88.000,87.867,87.200
30,96.467,96.467,95.600,96.200,95.133,95.400,94.200,94.200,93.667,93.067,93.000,92.400,92.067,92.200,91.600,91.533,91.133,90.800,91.133,90.933,90.800,90.400,89.467,89.333,88.933,88.600,88.600,87.667,87.400,87.467
31,96.400,96.400,95.467,96.267,95.067,95.200,94.133,94.267,93.600,93.000,92.600,92.133,92.000,92.200,91.467,91.400,91.067,90.733,90.867,90.867,90.800,90.400,89.733,88.933,88.867,88.400,88.400,87.867,87.667,87.400
32,96.467,96.467,95.467,96.133,95.067,95.267,94.133,94.400,93.800,93.133,92.667,92.133,92.000,91.933,91.733,91.467,91.133,91.067,91.000,91.000,90.733,90.333,90.067,89.333,89.133,88.600,88.467,88.200,87.733,87.400
33,96.400,96.400,95.467,96.067,94.933,95.400,94.133,94.400,93.600,93.200,92.800,92.200,92.000,91.733,91.533,91.467,91.200,91.000,91.133,91.200,90.733,90.133,89.867,89.333,89.133,88.733,88.600,88.200,87.733,87.333
34,96.267,96.267,95.533,95.933,94.933,95.400,94.467,94.400,93.533,93.200,92.867,91.867,91.867,91.800,91.533,91.400,91.400,91.200,91.133,91.200,90.733,90.200,89.667,89.267,89.333,88.800,88.267,87.933,87.733,87.400
35,96.200,96.200,95.467,95.933,94.933,95.267,94.267,94.400,93.667,93.267,92.667,92.067,91.800,91.867,91.867,91.200,91.333,91.000,91.000,90.733,90.600,90.267,89.533,89.333,88.933,88.600,88.533,88.067,87.733,86.933
36,96.200,96.200,95.467,95.800,95.000,95.267,94.333,94.333,93.600,93.200,92.600,92.067,91.800,91.800,91.533,91.200,91.267,91.200,91.000,90.600,90.600,90.067,89.533,89.400,89.133,88.467,88.467,88.067,87.600,87.333
37,96.267,96.267,95.600,95.867,95.067,94.933,94.333,94.267,93.400,93.200,92.667,92.067,91.933,91.733,91.467,91.333,91.333,91.200,91.200,90.667,90.333,90.000,89.533,89.200,88.867,88.600,88.333,88.000,87.533,87.533
38,96.133,96.133,95.533,95.667,95.000,95.067,93.867,94.400,93.333,92.867,92.667,91.800,91.933,91.533,91.133,91.000,91.267,90.933,91.000,90.867,90.333,89.733,89.600,89.067,88.933,88.600,88.333,88.200,87.667,87.400
39,96.000,96.000,95.533,95.800,95.000,95.133,94.200,94.333,93.400,92.800,92.600,91.933,91.867,91.533,91.333,91.267,91.200,91.067,91.000,90.600,90.400,89.933,89.600,89.267,88.867,88.467,88.067,88.133,87.533,87.400
40,96.067,96.067,95.600,95.867,95.000,95.267,94.133,94.333,93.533,92.933,92.467,92.133,92.067,91.800,91.267,91.267,91.600,91.133,91.133,90.667,90.267,89.933,89.600,89.467,89.000,88.600,88.267,88.200,87.733,87.533
41,96.133,96.133,95.600,95.733,94.933,95.200,94.067,94.267,93.400,92.867,92.533,92.067,92.200,91.867,91.467,91.467,91.600,91.200,90.933,90.400,90.067,90.000,89.400,89.400,88.933,88.733,88.200,88.067,87.733,87.400
42,96.067,96.067,95.467,95.733,95.067,95.133,93.933,94.333,93.400,92.933,92.667,92.133,92.200,92.000,91.600,91.467,91.600,91.067,90.867,90.533,90.133,89.933,89.400,89.400,88.800,88.533,88.067,88.000,87.667,87.333
43,96.000,96.000,95.400,95.533,95.067,95.133,93.867,94.133,93.200,93.000,92.733,92.133,92.200,92.200,91.600,91.533,91.400,90.933,91.000,90.400,90.067,89.800,89.333,89.400,88.933,88.733,88.133,88.000,87.667,87.267
44,96.067,96.067,95.333,95.467,95.000,95.200,93.933,94.267,93.200,93.000,92.667,92.133,92.200,92.000,91.533,91.533,91.400,91.200,90.933,90.733,90.133,89.867,89.400,89.533,89.067,88.733,88.000,87.933,87.533,87.133
45,96.000,96.000,95.467,95.533,95.067,95.267,93.867,94.267,93.200,93.000,92.733,92.133,92.133,92.067,91.467,91.467,91.333,91.133,90.867,90.667,90.267,89.800,89.400,89.467,88.933,88.800,88.000,87.733,87.800,87.333
46,96.067,96.067,95.400,95.600,95.067,95.267,93.867,94.333,93.267,92.933,92.733,92.067,92.067,92.133,91.467,91.467,91.400,91.267,90.867,90.600,90.200,89.867,89.400,89.400,88.867,88.800,88.000,87.733,87.733,87.200
47,96.133,96.133,95.400,95.600,95.067,95.200,93.867,94.333,93.267,92.933,92.733,92.133,92.067,92.133,91.467,91.533,91.333,91.133,90.933,90.400,90.333,89.800,89.467,89.200,88.867,88.800,88.067,87.800,87.600,87.000
48,96.133,96.133,95.400,95.600,95.067,95.200,93.867,94.400,93.267,92.933,92.733,92.067,92.133,92.133,91.533,91.667,91.400,91.200,91.000,90.600,90.400,89.800,89.467,89.200,88.800,88.800,88.133,87.867,87.600,87.067
49,96.200,96.200,95.333,95.667,95.067,95.133,94.000,94.333,93.267,92.800,92.733,92.067,92.067,92.133,91.533,91.667,91.333,91.133,91.000,90.733,90.533,89.867,89.600,89.133,88.800,88.800,88.067,88.067,87.733,87.200
50,96.267,96.267,95.400,95.667,95.067,95.133,94.067,94.333,93.267,92.800,92.667,92.067,92.067,92.133,91.533,91.667,91.467,91.133,91.000,90.600,90.533,89.867,89.600,89.133,88.733,88.800,88.067,88.000,87.733,87.200
51,96.267,96.267,95.400,95.600,95.000,95.133,94.000,94.333,93.267,92.800,92.667,92.067,92.067,92.133,91.533,91.667,91.333,91.133,91.000,90.600,90.533,89.867,89.600,89.133,88.733,88.800,88.067,88.067,87.733,87.200
52,96.267,96.267,95.400,95.600,95.000,95.133,94.000,94.333,93.267,92.800,92.667,92.067,92.067,92.133,91.600,91.667,91.400,91.067,91.000,90.467,90.467,89.867,89.600,89.200,88.733,88.867,88.067,88.067,87.733,87.133
53,96.200,96.200,95.333,95.667,95.000,95.133,94.000,94.267,93.267,92.800,92.667,92.067,92.067,92.133,91.600,91.667,91.400,91.067,91.000,90.600,90.467,89.867,89.600,89.200,88.800,88.867,88.067,88.067,87.733,87.133
54,96.200,96.200,95.333,95.600,95.067,95.133,94.067,94.333,93.267,92.800,92.667,92.067,92.067,92.133,91.600,91.667,91.467,91.067,91.000,90.533,90.533,89.867,89.600,89.200,88.733,88.867,88.067,88.067,87.667,87.200
55,96.267,96.267,95.400,95.600,95.000,95.133,94.000,94.267,93.267,92.800,92.733,92.067,92.067,92.133,91.533,91.667,91.333,91.133,91.000,90.600,90.533,89.867,89.600,89.067,88.867,88.867,88.067,88.067,87.667,87.133
56,96.267,96.267,95.400,95.600,95.000,95.133,94.000,94.267,93.267,92.800,92.667,92.067,92.067,92.133,91.533,91.667,91.333,91.133,91.000,90.600,90.533,89.867,89.600,89.133,88.867,88.867,88.067,88.067,87.667,87.133
57,96.200,96.200,95.333,95.667,95.000,95.133,94.000,94.200,93.267,92.800,92.733,92.067,92.067,92.133,91.533,91.667,91.400,91.067,91.000,90.600,90.467,89.867,89.600,89.200,88.733,88.867,88.067,88.067,87.667,87.200
58,96.200,96.200,95.333,95.600,95.000,95.133,94.000,94.200,93.267,92.800,92.733,92.067,92.067,92.133,91.533,91.667,91.467,91.133,91.000,90.533,90.467,89.867,89.600,89.133,88.800,88.867,88.067,88.067,87.667,87.200
59,96.200,96.200,95.333,95.600,95.000,95.133,94.000,94.200,93.267,92.800,92.667,92.067,92.067,92.133,91.533,91.667,91.467,91.133,91.000,90.467,90.533,89.867,89.600,89.133,88.800,88.867,88.067,88.067,87.667,87.200
60,96.200,96.200,95.333,95.600,95.000,95.133,94.000,94.200,93.267,92.800,92.667,92.067,92.067,92.133,91.533,91.667,91.467,91.067,91.000,90.533,90.533,89.867,89.600,89.133,88.800,88.867,88.067,88.067,87.667,87.133
61,96.267,96.267,95.400,95.600,95.067,95.133,94.067,94.267,93.267,92.800,92.667,92.067,92.067,92.133,91.600,91.667,91.467,91.200,91.000,90.467,90.533,89.867,89.600,89.067,88.733,88.800,88.067,88.067,87.667,87.200
62,96.267,96.267,95.400,95.600,95.067,95.133,94.067,94.200,93.267,92.800,92.667,92.067,92.067,92.133,91.600,91.667,91.467,91.133,91.000,90.467,90.533,89.867,89.600,89.067,88.733,88.800,88.067,88.067,87.667,87.133
63,96.267,96.267,95.400,95.600,95.000,95.133,94.000,94.200,93.267,92.800,92.733,92.067,92.067,92.133,91.600,91.667,91.400,91.200,91.000,90.533,90.533,89.867,89.600,89.067,88.733,88.800,88.067,88.067,87.667,87.200
64,96.267,96.267,95.400,95.600,95.067,95.133,94.067,94.200,93.267,92.800,92.733,92.067,92.067,92.133,91.533,91.667,91.467,91.133,91.000,90.467,90.533,89.867,89.600,89.067,88.800,88.800,88.067,88.067,87.667,87.200
